name,color
Excelsior,#E41A1C
Crocker Amazon,#FFFF33
Marina,#FF7F00
Nob Hill,#FF7F00
North Beach,#FF7F00
Pacific Heights,#FF7F00
Presidio Heights,#FF7F00
Russian Hill,#FF7F00
Visitacion Valley,#999999
Diamond Heights,#984EA3
Glen Park,#984EA3
Inner Sunset,#984EA3
Lakeshore,#984EA3
Outer Mission,#984EA3
West Of Twin Peaks,#984EA3
Bayview,#377EB8
Bernal Heights,#377EB8
Castro,#377EB8
Haight,#377EB8
Mission,#377EB8
Noe,#377EB8
Parkside,#377EB8
Potrero,#377EB8
South Of Market,#377EB8
Twin Peaks,#377EB8
Western Addition,#377EB8
Inner Richmond,#4DAF4A
Outer Richmond,#4DAF4A
Outer Sunset,#4DAF4A
Seacliff,#4DAF4A
Golden Gate Park,#4DAF4A
Chinatown,#F781BF
Downtown,#F781BF
Financial District,#F781BF
Ocean View,#A65628
