date,1196428"_1,409000362497"_1,409000438611"_1,409000438620"_1
20180101,35000000.0,29803266.43,4500000.0,71675659.0
20180102,59400000.0,26902340.42,20297.49,26498671.0
20180103,43502723.23,24387062.44,6600000.0,45522707.5
20180104,40300000.0,26530528.04,3700000.0,46696444.7
20180105,44001591.01,30309475.31,3200993.5,43693730.0
20180106,31000000.0,26397881.37,0.0,44784322.05
20180108,45400000.0,29558693.11,7500003.44,76669722.07
20180109,43502471.84,36297170.09,0.0,52824830.36
20180110,70501069.25,27906997.82,7300000.0,52797123.0
20180111,41152720.0,32784249.97,3200000.0,51711746.0
20180112,70269413.23,35666842.230000004,4000000.0,49029533.98
20180113,0.0,0.0,0.0,0.0
20180115,49813790.0,52276766.38,9900000.0,139100410.0
20180116,29628951.95,32798613.25,3100000.0,46657246.88
20180117,62613594.45,21516860.12,3000000.0,54914342.85
20180118,47000669.25,25569990.910000004,3000000.0,51073375.21
20180119,49945266.3,27871464.12,2800000.0,52855900.75
20180120,37500000.0,25767159.1,2000000.0,50772578.9
20180122,37000000.0,30858541.64,5400000.0,83347840.7
20180123,36887288.94,23404055.110000007,3000000.0,43687349.0
20180124,56000000.0,20743753.75,2700000.0,47487059.4
20180125,60052138.93,14450962.079999998,2600000.0,47138123.16
20180129,26500611.99,38151227.4,10900000.0,141964921.0
20180130,38415004.85,26788165.56,11841636.79,51583052.7
20180131,28816961.31,5137198.2,0.0,55244298.56
20180201,46679400.76,20037407.41,5800000.0,51036245.7
20180202,84265685.52,26467559.0,0.0,52260863.7
20180203,56500000.0,22171987.69,5000000.0,57407224.08
20180205,26000000.0,27987699.14,6000000.0,80823236.6
20180206,64000000.0,24476826.6,4000000.0,51862313.0
20180207,40601678.97,20237904.39,3000000.0,51820895.95
20180208,62331848.0,25503426.480000004,3931299.07,49732475.6
20180209,68601184.63,25595998.89,4055411.0,45248872.7
20180212,69298762.0,49531076.22,0.0,125583108.7
20180213,15500000.0,22139494.360000007,10000000.0,0.0
20180214,48933423.35,8168247.8900000015,7900000.0,104137398.15
20180215,143392930.4,11074291.89,3700000.0,43990403.6
20180216,88471319.08,30582499.05,3700000.0,57497380.0
20180217,56000000.0,23656078.42,2000000.0,60840714.0
20180219,8850000.0,39078135.61,0.0,1200000.0
20180220,58029671.0,29524949.090000004,11500000.0,119745723.05
20180221,74001588.95,23437754.41,3800000.0,61528009.0
20180222,40000000.0,23367816.910000004,3400000.0,46732692.96
20180223,90479333.29,24234505.85,3500000.0,46690787.44
20180226,62486249.0,51671806.09,10200000.0,124433605.0
20180227,25000100.0,24747089.27,2800000.0,46009827.29000001
20180228,38020758.08,23779759.34,4800000.0,50253021.0
20180301,64474497.0,12614145.77,3600000.0,55251245.45
20180302,0.0,4818841.55,0.0,0.0
20180303,33000000.0,6635993.199999998,6000000.0,67423476.4
20180305,32001324.99,19953370.39,11600000.0,64422811.0
20180306,38500029.5,12278607.14,4600000.0,38069155.0
20180307,49807010.05000001,11793374.05,4600000.0,48100521.0
20180308,21000000.0,11327869.53,4700000.0,41897103.4
20180309,52837733.04,8680008.49,4400000.0,43904441.7
20180310,0.0,0.0,0.0,0.0
20180312,36195001.0,28043129.83,8200000.0,113974587.0
20180313,40000000.0,13490497.81,10200000.0,43497603.0
20180314,35301560.61,13587409.11,5000000.0,37670609.5
20180315,24000000.0,12775927.03,4200000.0,47249564.71
20180316,39500000.0,11355935.33,4300000.0,41769036.79000001
20180317,18948796.0,9977868.79,2500000.0,41956367.0
20180319,37193248.43,15244779.04,9500000.0,66540124.8
20180320,30200676.69,11956662.71,4200000.0,45190543.2
20180321,25055293.18,11137567.15,4046810.59,41615483.8
20180322,37205129.0,12232638.2,3300000.0,41998540.0
20180323,43118370.5,12053399.7,4000000.0,41220693.05
20180326,41407235.79,33179785.040000007,10800000.0,88123373.26
20180327,109772790.0,18155835.73,3100000.0,22000000.0
20180328,47797528.95,17610267.689999998,1800000.0,22522520.63
20180329,11663198.0,14665387.11,0.0,0.0
20180330,1000000.0,0.0,1000000.0,22500000.0
20180331,73689223.0,20605368.96,8810053.52,40000079.65
20180402,0.0,0.0,0.0,0.0
20180403,84405826.38,32634503.17,45400000.0,36671832.88
20180404,71373146.2,22459109.67,43025273.35,26974500.0
20180405,50582433.0,22695280.54,6800000.0,28508038.35
20180406,50046364.11,19019774.36,3700000.0,27600017.7
20180407,42691490.0,19137853.95,1000000.0,24052165.18
20180409,62082966.0,33479763.78,10500000.0,43726070.8
20180410,24787503.0,20731863.05,4909702.93,53.1
20180411,55335516.0,19650418.39,4500000.0,55000000.0
20180412,42087162.0,18817464.85,0.0,26023609.15
20180413,70089305.38,21536434.24,10400000.0,26106835.68
20180416,86950986.0,38486340.12000001,15600000.0,67445025.1
20180417,49945586.37,25326094.84,4213029.46,28300000.0
20180418,50715590.89,19071815.88,8500000.0,27758191.75
20180419,53264686.0,18325238.4,6500000.0,37500000.0
20180420,46336829.69,17365017.98,0.0,34137042.8
20180421,53273026.0,14939642.95,10500000.0,25765273.59
20180423,62531263.0,26514842.3,11000000.0,43048265.5
20180424,53344426.0,20610028.6,7012200.94,31500002.95
20180425,45839077.0,18133061.67,5800000.0,28800000.0
20180426,42095024.0,15471440.66,5900000.0,27200017.7
20180427,64491259.68,26226194.1,6000000.0,28479519.78
20180429,0.0,0.0,0.0,0.0
20180430,7359497.0,30689734.33,0.0,50162.25
20180501,88791094.0,18907089.35,0.0,85500017.7
20180502,50140848.99,18216954.89,27816912.1,24900000.0
20180503,54380752.27,17742150.15,5874647.86,27573400.9
20180504,56154140.44,16411481.44,4300000.0,30328573.75
20180505,57069640.0,14935924.68,7500000.0,29503756.65
20180506,0.0,0.0,0.0,0.0
20180507,61751913.39,23272594.54,7000000.0,42100035.4
20180508,51940914.0,17581194.64,10318990.35,27000000.0
20180509,54267755.52,16359782.35,8700000.0,29699377.6
20180510,43158045.0,15667694.53,6500000.0,27200029.5
20180511,57862088.2,15005860.64,6300000.0,25780049.57
20180512,0.0,0.0,0.0,0.0
20180513,0.0,0.0,0.0,0.0
20180514,86891677.73,40963506.54,19000000.0,60015070.8
20180515,41819646.2,14557455.61,8351312.51,22971889.69
20180516,48812847.77,15006809.27,6900000.0,25527511.5
20180517,53725615.7,14157742.51,5500000.0,24600044.25
20180518,68633599.0,13831693.05,6500000.0,23542238.65
20180519,45230147.0,13503272.66,3500118.0,20000118.0
20180521,56664854.05,19344248.79,9800000.0,35064212.4
20180522,49037481.0,14816404.36,10500000.0,21000017.7
20180523,44782427.88,13562998.12,5106767.7700000005,23313572.88
20180524,38116148.0,14025002.48,4519694.53,20691202.67
20180525,60598839.0,14923526.19,5800000.0,20603035.4
20180526,0.0,0.0,0.0,0.0
20180528,80768770.6,33913583.16,15807788.2,51800486.16
20180529,43340483.0,16210775.24,4900000.0,21607900.0
20180530,38986863.4,17053348.75,3022558.67,21000017.7
20180531,37751793.0,16506951.83,5000000.0,21036271.69
20180601,48924738.0,16218701.58,8345822.29,18907633.02
20180602,48252880.0,16316908.31,4000000.0,22500047.2
20180603,0.0,0.0,0.0,0.0
20180604,71415670.02000001,25548639.25,10615988.52,32001526.55
20180605,47806600.0,19577477.08,6790244.59,20013200.0
20180606,37347179.76000001,16990556.33,6500000.0,19500000.0
20180607,44075253.03,20501296.71,4814732.87,20297863.43
20180608,56260632.0,19070910.04,5500000.0,19560703.26
20180611,90292662.11,38081161.47,15800000.0,54200091.45
20180612,51657275.0,22628082.3,9889018.34,23501000.0
20180613,47223431.0,19303217.74,7300000.0,25555419.48
20180614,43484656.0,18632327.39,6109826.97,22900060.18
20180615,61470378.8,16369620.15,6300000.0,23000035.4
20180616,0.0,0.0,0.0,0.0
20180618,78756015.98,36326441.81,19000000.0,50564769.66
20180619,58359417.48,17539454.43,8700000.0,20900000.0
20180620,50615195.0,16132815.75,8423389.01,22301653.12
20180621,45817128.0,16925618.19,8600000.0,19531200.0
20180622,76637712.0,14224820.93,7100000.0,18928010.64
20180623,0.0,20500.0,0.0,0.0
20180625,18678652.0,37351920.42,20700029.5,47825744.85
20180626,29505709.0,16524321.12,7600000.0,18925381.13
20180627,12229478.0,14775800.53,8100000.0,19600029.5
20180628,15885736.0,14526912.08,4903686.99,16941599.720000006
20180629,35557260.58,14516081.02,7900000.0,16600000.0
20180630,55508854.55,14148196.18,4500000.0,19500023.6
20180702,58210596.78,15998665.14,14912753.61,28500000.0
20180703,32945129.59,17928876.55,6500000.0,14800002.95
20180704,50832465.04,15476746.84,6800000.0,22000035.4
20180705,47935051.06,15531416.49,7000000.0,19442115.66
20180706,50158676.61,14505365.56,7000000.0,18687886.74
20180707,62111725.02,15304704.47,4501536.0,18526745.14
20180708,0.0,0.0,0.0,0.0
20180709,76624841.72,25018902.46,15300000.0,30505247.51
20180710,47414517.26,15111857.6,9200000.0,18900000.0
20180711,44729354.96,18603915.56,7400000.0,20600032.45
20180712,47162929.41,16417958.53,6500000.0,19169592.64
20180713,54913793.78,16723013.72,4900000.0,17377511.12
20180714,0.0,0.0,0.0,0.0
20180716,75082525.08,28263475.39,23000000.0,47800017.7
20180717,54570568.69,15793870.23,7600000.0,17210047.2
20180718,51545743.52,15372464.68,7900000.0,18500011.8
20180719,45538817.98,12742831.54,8200000.0,41516881.66
20180720,52181853.6,12948346.46,7000000.0,15153389.41
20180721,52400588.86,11487787.55,5000000.0,17000000.0
20180723,60519975.28,20587143.94,9810217.79,22300010.03
20180724,40382809.5,12660778.94,12500000.0,16521400.0
20180725,42392220.0,12231280.56,7500000.0,16301764.9
20180726,41968473.18,12379400.37,6600000.0,14908005.9
20180727,59584277.5,11586743.5,7000000.0,14331936.33
20180728,0.0,0.0,0.0,0.0
20180730,79381024.84,26532154.32,19200000.0,35300000.0
20180731,43025648.88,12910951.54,9900000.0,19671640.94
20180801,37517819.9,11472945.33,7600000.0,14524520.31
20180802,29658601.26,10447788.48,7200000.0,14600023.6
20180803,51325826.09,9592483.1,11500000.0,15333043.96
20180804,45089116.89,9844490.88,6500000.0,15500017.7
20180806,63080525.33,16047653.05,17800000.0,23100000.0
20180807,30881591.82,11012421.57,6400000.0,14200057.82
20180808,43490177.84,9052914.08,10600000.0,14817042.48
20180809,40111850.0,7938981.01,7900000.0,16857962.55
20180810,58701717.73,13848026.39,8900000.0,15900000.0
20180811,0.0,0.0,0.0,0.0
20180813,77846437.75999999,23963773.19,25000029.5,40295302.36
20180814,53962379.06,11213618.66,8900000.0,16300029.5
20180816,61729357.17,15036774.81,17000000.0,24043096.47
20180817,31534223.26,7767285.23,2700000.0,14728484.39
20180818,44816639.49,9437871.01,6500000.0,13000000.0
20180820,55676764.64,14839731.03,23300000.0,20738049.57
20180821,42768158.17,10566299.99,8900000.0,10224997.35
20180822,0.0,0.0,0.0,0.0
20180823,74108891.77999999,12773459.24,18600000.0,23700023.01
20180824,46048885.52,7409485.8599999985,8680000.0,11500000.0
